xd,xla1,xla2,xm,xl,ar,aa,ah,br,ba,bh,xb,yb
6,18,10,78,181,0,0,0,0,0,0,356,357.12
4,6,27,64,123,0,0,0,0,0,0,160,153.43
11,21,2,53,128,0,0,0,0,0,0,183,91.5
3,9,3,64,103,0,150,0,0,1,0,150,130.26
10,11,3,38,114,0,0,0,0,0,0,110,30.04
3,10,16,58,169,79,0,79,1,0,1,79,91.06
6,1,2,53,141,0,0,0,0,0,0,275,177.38
1,39,15,84,100,0,200,0,0,1,0,200,120.91
4,4,27,69,129,0,0,0,0,0,0,160,92.58
3,3,4,71,132,0,0,0,0,0,0,100,53.51
12,18,22,83,161,90,0,0,1,0,0,90,41.08
13,16,45,43,129,0,0,0,0,0,0,20,40.33
2,5,7,55,86,0,80,0,0,1,0,80,46.65
2,3,27,54,128,185,0,0,1,0,0,185,29.03
2,8,1,71,104,0,129,0,0,1,0,129,55.02
2,30,13,73,130,75,0,0,1,0,0,75,56.82
3,1,9,48,132,0,0,0,0,0,0,170,47.78
5,1,12,31,120,50,0,0,1,0,0,50,12.05
3,21,20,60,137,0,0,0,0,0,0,200,60.04
9,2,3,55,118,0,260,0,0,1,0,260,191.77
6,22,18,80,123,0,0,0,0,0,0,90,19
1,2,1,54,102,0,100,0,0,1,0,100,13.35
14,21,6,38,117,0,0,0,0,0,0,138,20.55
3,7,16,46,86,0,24,0,0,1,0,24,30.3
1,16,8,43,113,0,0,0,0,0,0,200,32.83
8,21,14,58,123,0,0,0,0,0,0,125,59.25
6,6,5,65,107,0,99,0,0,1,0,99,34.12
10,17,53,59,122,55,0,0,1,0,0,55,96.2
5,13,10,82,130,0,0,0,0,0,0,40,26.77
2,3,1,72,148,9,0,9,1,0,1,9,6.56
6,17,2,45,121,40,0,0,1,0,0,40,21.38
14,1,2,53,122,0,0,0,0,0,0,170,28.53
4,13,3,54,109,0,0,0,0,0,0,25,3.13
3,21,5,53,104,0,0,0,0,0,0,150,54.37
18,16,23,51,112,0,0,0,0,0,0,170,45.99
5,1,1,58,108,0,0,0,0,0,0,14,0.35
2,5,1,44,90,6,0,6,1,0,1,6,7.85
2,2,3,81,116,20,0,20,1,0,1,20,71.12
5,17,14,55,99,42,0,0,1,0,0,42,26.8
2,8,4,57,101,21,0,21,1,0,1,21,24.5
1,25,10,47,100,0,0,0,0,0,0,135,24.79
3,3,3,77,119,0,0,0,0,0,0,15.6,0.48
2,9,4,60,144,26,0,0,1,0,0,26,3.5
1,6,1,35,102,38,0,0,1,0,0,38,5.53
2,7,6,51,99,33,0,0,1,0,0,33,9.26
11,22,20,81,152,0,0,0,0,0,0,97.6,31.47
1,9,13,53,106,30,0,30,1,0,1,30,20.27
4,3,9,69,121,40,0,0,1,0,0,40,25.73
1,1,1,61,108,0,0,25,0,0,1,25,20.92
8,20,1,59,152,45,0,45,1,0,1,45,14.11
8,4,4,60,87,13.5,0,13.5,1,0,1,13.5,12
5,10,7,43,119,0,0,0,0,0,0,185,36.95
32,6,3,64,140,0,0,0,0,0,0,175,41.76
